original,replacement,probability
0,o,0.95
0,O,0.95
1,i,0.85
1,l,0.90
1,I,0.85
1,L,0.90
3,e,0.80
3,E,0.80
4,a,0.75
4,A,0.75
5,s,0.85
5,S,0.85
6,g,0.60
6,b,0.50
7,t,0.70
7,T,0.70
8,b,0.75
8,B,0.75
9,g,0.65
9,q,0.55
@,a,0.90
$,s,0.85
$,S,0.85
!,i,0.80
!,l,0.80
!,1,0.75
|,i,0.85
|,l,0.90
|,I,0.85
|,L,0.90
ı,i,0.95
і,i,0.95
а,a,0.95
е,e,0.95
о,o,0.95
р,p,0.95
с,c,0.95
х,x,0.95
у,y,0.95
ɡ,g,0.90
ɑ,a,0.90
ℓ,l,0.85
rn,m,0.80
vv,w,0.85
cl,d,0.70
